Date : 2020-09-19 16:03:21
Directory : e:\NewDashboard\client\src
Total : 74 files,  11546 codes, 1175 comments, 1260 blanks, all 13981 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\NewDashboard\client\src\Components\Home\FeedbackStats.js                          | JavaScript |        151 |          6 |         30 |        187 |
| e:\NewDashboard\client\src\Components\Home\Home.js                                   | JavaScript |        306 |         27 |         43 |        376 |
| e:\NewDashboard\client\src\Components\Home\ResolveTimeAnalysisStats.js               | JavaScript |        178 |          1 |         17 |        196 |
| e:\NewDashboard\client\src\Components\Home\ZoneStats.js                              | JavaScript |        230 |         16 |         30 |        276 |
| e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\FeedbackTags.js  | JavaScript |        240 |          7 |         10 |        257 |
| e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\Stars.js         | JavaScript |        101 |          6 |          5 |        112 |
| e:\NewDashboard\client\src\Components\ManageComplaints\ManageComplaints.js           | JavaScript |        143 |          1 |         13 |        157 |
| e:\NewDashboard\client\src\Components\ManageComplaints\ReasonforRejection.js         | JavaScript |        203 |          3 |         13 |        219 |
| e:\NewDashboard\client\src\Components\ManageComplaints\Type\AddType.js               | JavaScript |        111 |         61 |         13 |        185 |
| e:\NewDashboard\client\src\Components\ManageComplaints\Type\ComplaintTypes.js        | JavaScript |         85 |          2 |          6 |         93 |
| e:\NewDashboard\client\src\Components\ManageComplaints\Type\Type.js                  | JavaScript |        188 |         51 |         13 |        252 |
| e:\NewDashboard\client\src\Components\Menu.js                                        | JavaScript |        256 |         47 |         26 |        329 |
| e:\NewDashboard\client\src\Components\Notification.js                                | JavaScript |         30 |          8 |         15 |         53 |
| e:\NewDashboard\client\src\Components\Profile\Alerts.js                              | JavaScript |        171 |         20 |         10 |        201 |
| e:\NewDashboard\client\src\Components\Profile\ChangePassword.js                      | JavaScript |        194 |          5 |         17 |        216 |
| e:\NewDashboard\client\src\Components\Profile\ImageComponent.js                      | JavaScript |         83 |        106 |         14 |        203 |
| e:\NewDashboard\client\src\Components\Profile\Profile.js                             | JavaScript |        454 |         42 |         27 |        523 |
| e:\NewDashboard\client\src\Components\Profile\UserStatistics.js                      | JavaScript |        129 |          2 |         10 |        141 |
| e:\NewDashboard\client\src\Components\Reports\GenerateReports.js                     | JavaScript |        816 |        126 |        110 |      1,052 |
| e:\NewDashboard\client\src\Components\Reports\PdfMakeTable.js                        | JavaScript |         61 |          0 |         21 |         82 |
| e:\NewDashboard\client\src\Components\Routes\AdminRoute.js                           | JavaScript |         28 |          1 |          4 |         33 |
| e:\NewDashboard\client\src\Components\Routes\PrivateRoute.js                         | JavaScript |         27 |          2 |          6 |         35 |
| e:\NewDashboard\client\src\Components\Routes\PublicRoute.js                          | JavaScript |         28 |          1 |          6 |         35 |
| e:\NewDashboard\client\src\Components\Supervisor\AddForm.js                          | JavaScript |        531 |          4 |         25 |        560 |
| e:\NewDashboard\client\src\Components\Supervisor\DeleteDialog.js                     | JavaScript |         62 |          8 |          7 |         77 |
| e:\NewDashboard\client\src\Components\Supervisor\EditDialog.js                       | JavaScript |        188 |          1 |         11 |        200 |
| e:\NewDashboard\client\src\Components\Supervisor\ResolveTime.js                      | JavaScript |        219 |          0 |         16 |        235 |
| e:\NewDashboard\client\src\Components\Supervisor\Supervisors.js                      | JavaScript |        831 |        151 |         48 |      1,030 |
| e:\NewDashboard\client\src\PagesCss\Dashboard.css                                    | CSS        |        104 |          6 |         23 |        133 |
| e:\NewDashboard\client\src\PagesCss\Error.css                                        | CSS        |         51 |         35 |         10 |         96 |
| e:\NewDashboard\client\src\PagesCss\Login.css                                        | CSS        |         23 |          0 |          5 |         28 |
| e:\NewDashboard\client\src\Pages\Dashboard.js                                        | JavaScript |        564 |         43 |         46 |        653 |
| e:\NewDashboard\client\src\Pages\Error.js                                            | JavaScript |         24 |          2 |          4 |         30 |
| e:\NewDashboard\client\src\Pages\Login.js                                            | JavaScript |        182 |          4 |         25 |        211 |
| e:\NewDashboard\client\src\assets\css\charts-and-graphs.css                          | CSS        |        527 |         19 |         95 |        641 |
| e:\NewDashboard\client\src\assets\css\reportsCss.css                                 | CSS        |         89 |          1 |         20 |        110 |
| e:\NewDashboard\client\src\assets\jss\material-dashboard-react.js                    | JavaScript |        257 |         26 |         20 |        303 |
| e:\NewDashboard\client\src\index.css                                                 | CSS        |         12 |          0 |          2 |         14 |
| e:\NewDashboard\client\src\index.js                                                  | JavaScript |         12 |          0 |          4 |         16 |
| e:\NewDashboard\client\src\init-fcm.js                                               | JavaScript |         13 |          1 |          1 |         15 |
| e:\NewDashboard\client\src\serviceWorker.js                                          | JavaScript |         98 |         31 |         13 |        142 |
| Total                                                                                |            |     11,546 |      1,175 |      1,260 |     13,981 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
